------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is </home/qrng/doktmeres/aproxerr/m1000_ext_10M/extbits_xor2.out>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 78  95  95 109 101 109 120 119 106  92  0.098758   1013/1024	 Frequency
 92  95  88  97 120 101 109 113 114  95  0.321175   1011/1024	 BlockFrequency
 80 100  88 109 104  95 111 104 123 110  0.141651   1014/1024	 CumulativeSums
 73  93 113 101 104  92 128 110 110 100  0.023734   1014/1024	 CumulativeSums
100 118 111 103 101  92 121  91  90  96  0.287306   1011/1023	 Runs
 79  88 112 104 100 114 103 104 115 105  0.251034   1021/1024	 LongestRun
101 114 105 104 100  91  98 113 106  92  0.811546   1011/1024	 Rank
118 134  92 108  95 107  90 100  95  85  0.022205   1009/1024	 DFT
101 111  78 100 120 105  96 118 107  88  0.097033   1014/1024	 NonOverlappingTemplate
 93  95 105 109 107 102 111  98  95 109  0.911413   1016/1024	 NonOverlappingTemplate
 88 100 100 119  92  74 112 112 112 115  0.034053   1016/1024	 NonOverlappingTemplate
 97 113 102  94 104  79 120 119  95 101  0.130207   1014/1024	 NonOverlappingTemplate
 92 101  96  87 102 101 108 128  98 111  0.243598   1012/1024	 NonOverlappingTemplate
 89  99 100 104  83 126 113  95 104 111  0.140862   1016/1024	 NonOverlappingTemplate
 95 105  96 105 107  92 100  97 113 114  0.823934   1016/1024	 NonOverlappingTemplate
 99 100 108  93 112  88 102 112 109 101  0.774656   1014/1024	 NonOverlappingTemplate
 90  91 105 112 107  88 115  97 120  99  0.275709   1013/1024	 NonOverlappingTemplate
109 105 108  97  96  95 101 114 104  95  0.915241   1012/1024	 NonOverlappingTemplate
 97 114  87 108  93 108 112 114  90 101  0.421147   1018/1024	 NonOverlappingTemplate
102 117 107 116  93  94 103 100  83 109  0.361711   1017/1024	 NonOverlappingTemplate
 80 110 112 103 119 115 103 101  91  90  0.142443   1018/1024	 NonOverlappingTemplate
113 109 107  87 103  97  94 112  93 109  0.610599   1013/1024	 NonOverlappingTemplate
 83 102 114 105  99 117  94  97  98 115  0.348900   1018/1024	 NonOverlappingTemplate
 95 109 103 107 102 103  89 117  93 106  0.735987   1010/1024	 NonOverlappingTemplate
 91 101  96  98 111 101 115  85 110 116  0.388211   1018/1024	 NonOverlappingTemplate
 93 109  93 110  99 100 102 122  83 113  0.244826   1016/1024	 NonOverlappingTemplate
109 106  85  96 115  92 107 101  92 121  0.259925   1007/1024	 NonOverlappingTemplate
 82 106 101 109  83 112 115  99 111 106  0.225744   1017/1024	 NonOverlappingTemplate
 99 102 104  98 124  98  87 101  92 119  0.261214   1009/1024	 NonOverlappingTemplate
 92 109 112  92 104 104 102 112  98  99  0.857551   1016/1024	 NonOverlappingTemplate
 98  99 115 103  98  96 108 113 101  93  0.854318   1010/1024	 NonOverlappingTemplate
 97 107 110  95 101 111  86 115 108  94  0.580152   1017/1024	 NonOverlappingTemplate
116  99 116  85 103  87 109 105 107  97  0.347320   1010/1024	 NonOverlappingTemplate
106  97 108 114  98 114 108  97  88  94  0.649367   1013/1024	 NonOverlappingTemplate
100 118  85 103 102 106 103 111 103  93  0.620792   1019/1024	 NonOverlappingTemplate
 93  97 120  88 116 106 107  84 118  95  0.101691   1016/1024	 NonOverlappingTemplate
108 110 120 100 102 104  91  92  86 111  0.374816   1013/1024	 NonOverlappingTemplate
105 113 102  84  92 127 106 106  93  96  0.161721   1009/1024	 NonOverlappingTemplate
107 114 107 123 104 112  81  93  83 100  0.068120   1015/1024	 NonOverlappingTemplate
 99  98  85  89 113 122 104  99 110 105  0.297828   1011/1024	 NonOverlappingTemplate
101 117  89  96 105 101 106  96 126  87  0.177323   1018/1024	 NonOverlappingTemplate
 92  90 105 108  99 106  87 117 127  93  0.108413   1013/1024	 NonOverlappingTemplate
 97  99  95 105  99 111 107 106 105 100  0.985481   1012/1024	 NonOverlappingTemplate
 87  82 106  96 112 106 120 102 108 105  0.249783   1010/1024	 NonOverlappingTemplate
 91 100  96 108  89 105 129  87 113 106  0.109676   1016/1024	 NonOverlappingTemplate
105 101 110 100 105 100  95  94 107 107  0.981146   1015/1024	 NonOverlappingTemplate
107 103  98  90 101  96 105  94 114 116  0.716158   1013/1024	 NonOverlappingTemplate
100 110 114  91 103 104  99  88  95 120  0.439086   1015/1024	 NonOverlappingTemplate
110  95 111  78 100 111 111  93 107 108  0.306439   1015/1024	 NonOverlappingTemplate
 91  99 103 104  99 110  98 111 100 109  0.940624   1011/1024	 NonOverlappingTemplate
113 122 107  84  86 106  95  98 115  98  0.135446   1012/1024	 NonOverlappingTemplate
115 105  97 103 101 112  95 108  98  90  0.798871   1016/1024	 NonOverlappingTemplate
101 105  86 103  84 121 106 109 104 105  0.342607   1013/1024	 NonOverlappingTemplate
 98 101  99  98  95  97  96 120 112 108  0.739918   1012/1024	 NonOverlappingTemplate
102 108 119  99 105  89  87 108 101 106  0.560024   1006/1024	 NonOverlappingTemplate
106 107 114 108 114 101  93  85  88 108  0.393308   1013/1024	 NonOverlappingTemplate
