------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <toep_new_bitsdissz08>
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
116 101  94 102  92 102  84 114 109 110  0.415844   1013/1024	 Frequency
 99 112 101  93 102 108 103  91  92 123  0.462990   1014/1024	 BlockFrequency
112  95 103 102  97  75 114 113 105 108  0.218893   1013/1024	 CumulativeSums
121  88  99  90 111  91  99 120  95 110  0.148917   1012/1024	 CumulativeSums
 96 106 106 107 108  89  98 102 102 110  0.929683   1018/1024	 Runs
 94  91 107  99  96 114 110 110  95 108  0.739918   1016/1024	 LongestRun
 90 120  98 105 100  81 116 100 114 100  0.181168   1016/1024	 Rank
120 134  98 101 110  84  88 105  89  95  0.011250   1005/1024	 DFT
 90 100  96 113  96 104 109 102 101 113  0.829151   1016/1024	 NonOverlappingTemplate
109  91 111 104  97 102  97 103 115  95  0.822183   1013/1024	 NonOverlappingTemplate
 96  90  99  91  92 108 136  98 107 107  0.059867   1014/1024	 NonOverlappingTemplate
 94 110 104 101  88 111  94  94 105 123  0.376475   1019/1024	 NonOverlappingTemplate
101  86 114  96 112 113 104 106  91 101  0.550028   1011/1024	 NonOverlappingTemplate
 97 108 100 113  98 119 106 100  92  91  0.618752   1015/1024	 NonOverlappingTemplate
 94 100 115 104  97 111  87  94 102 120  0.400165   1019/1024	 NonOverlappingTemplate
108  90 112  82 107  99 102 113 107 104  0.487504   1017/1024	 NonOverlappingTemplate
128  97  95  96 104  97  93 111  96 107  0.336389   1015/1024	 NonOverlappingTemplate
 98 116 102  89 101  94  89 123  91 121  0.088804   1012/1024	 NonOverlappingTemplate
 97  99 118  92 107 114  96 119  94  88  0.261214   1017/1024	 NonOverlappingTemplate
102  94 104  98 121  95 116  98  91 105  0.514514   1013/1024	 NonOverlappingTemplate
 91 106  92 108  99  96 112 113 103 104  0.804337   1013/1024	 NonOverlappingTemplate
104 111 113 110  79  92 101 109  97 108  0.358480   1019/1024	 NonOverlappingTemplate
101  96 109 116  86 104 107 109 102  94  0.671779   1010/1024	 NonOverlappingTemplate
104 110  91  87 110 116 102 107  99  98  0.626913   1014/1024	 NonOverlappingTemplate
117 118 120  91  74  98 105  97 108  96  0.035631   1010/1024	 NonOverlappingTemplate
110  91 106  94 101 112  94 111 108  97  0.778434   1013/1024	 NonOverlappingTemplate
118 115 100 100  94 107  99  98  90 103  0.659564   1008/1024	 NonOverlappingTemplate
 93 105 102  90 102 110 116 100 120  86  0.306439   1016/1024	 NonOverlappingTemplate
 99  86  91 103 124  91 123 101 111  95  0.082177   1014/1024	 NonOverlappingTemplate
112 103  97 105 100 102  94 112 106  93  0.916498   1013/1024	 NonOverlappingTemplate
 92  88 114 100  95  99 119 105 104 108  0.510619   1015/1024	 NonOverlappingTemplate
107  95 112 106 110 100  92 101  99 102  0.935280   1015/1024	 NonOverlappingTemplate
109 111  98 100 104  96 105  95 111  95  0.929683   1020/1024	 NonOverlappingTemplate
115  95 105 101 107  85 114  84 108 110  0.283859   1015/1024	 NonOverlappingTemplate
 95 108  93  99 116  88 110 106 106 103  0.688008   1007/1024	 NonOverlappingTemplate
106  93 108  90 105  88 106 121 101 106  0.476118   1017/1024	 NonOverlappingTemplate
 99 101  94  97 114 115 114  90  98 102  0.635078   1014/1024	 NonOverlappingTemplate
111 105 112 107 115 105  98  78  91 102  0.286615   1010/1024	 NonOverlappingTemplate
 99 103 101 100 116 107 105  92 110  91  0.816892   1014/1024	 NonOverlappingTemplate
 96 106 100 112  95  97 107 111  90 110  0.804337   1016/1024	 NonOverlappingTemplate
121 107 100 103  98 107  87 101  99 101  0.683958   1013/1024	 NonOverlappingTemplate
 99 105 104 112  86  90 106 109 100 113  0.639161   1010/1024	 NonOverlappingTemplate
 87 104 109  68 105 110 115 117 110  99  0.022354   1018/1024	 NonOverlappingTemplate
104 115 101  96 111 120  97 111  84  85  0.159089   1016/1024	 NonOverlappingTemplate
107 107  97 103  99 100  92 114 106  99  0.940624   1016/1024	 NonOverlappingTemplate
110  91  92 111  91 111 121 100  96 101  0.391605   1012/1024	 NonOverlappingTemplate
 96  96 108 105  99  83  99 121 104 113  0.381478   1017/1024	 NonOverlappingTemplate
101 122  93 114 113  94 106  85 107  89  0.169834   1014/1024	 NonOverlappingTemplate
 97 101 103 107  94  95 105 110 100 112  0.948645   1016/1024	 NonOverlappingTemplate
109  89  95 114  86 106 116 100 121  88  0.118201   1013/1024	 NonOverlappingTemplate
119 106 114 100  92 104  97  95  95 102  0.671779   1016/1024	 NonOverlappingTemplate
106 104 111 104  98  93 103  98  94 113  0.913975   1011/1024	 NonOverlappingTemplate
 94 117 110 104 120  97 105  92  92  93  0.369867   1013/1024	 NonOverlappingTemplate
113 108 111  89 106 112 111  92  87  95  0.384836   1014/1024	 NonOverlappingTemplate
 88 107 104 114 103 109 110  90  98 101  0.708155   1016/1024	 NonOverlappingTemplate
115  77 115  82 101 106 106 116 103 103  0.075081   1007/1024	 NonOverlappingTemplate
 88 107 110  98  94 111 106  96 104 110  0.784067   1017/1024	 NonOverlappingTemplate
112  82  84 124 114  99 105 107 110  87  0.041571   1010/1024	 NonOverlappingTemplate
104  96  91 127  90 121 119 103  89  84  0.015963   1016/1024	 NonOverlappingTemplate
 97 110 104  93 105 101 106 111 104  93  0.936369   1016/1024	 NonOverlappingTemplate
 98  99 111 103  88 115  92 117  96 105  0.508677   1013/1024	 NonOverlappingTemplate
 92 107  95  86 110 110 104 110  95 115  0.506737   1014/1024	 NonOverlappingTemplate
117  89  98  92 114 102  92 110 105 105  0.514514   1006/1024	 NonOverlappingTemplate
 93 112 113 108 103 104  98  97  98  98  0.906175   1011/1024	 NonOverlappingTemplate
112  91 100  95 112 103 115 114  88  94  0.410580   1006/1024	 NonOverlappingTemplate
110  96 105 102  81 117 112  98 106  97  0.424702   1013/1024	 NonOverlappingTemplate
 94 102  96  90  96 102 111 111 102 120  0.584197   1013/1024	 NonOverlappingTemplate
 99  95 115  94  88 112 119 105  99  98  0.444545   1014/1024	 NonOverlappingTemplate
 95 110 112  86 102 102 101 103 115  98  0.696088   1019/1024	 NonOverlappingTemplate
102  81  99 125  96  94  97 106 115 109  0.157355   1014/1024	 NonOverlappingTemplate
105 113  91  92 102  96 114 127 100  84  0.104092   1007/1024	 NonOverlappingTemplate
 81 116 110 114 121  84  91 115  92 100  0.026386   1012/1024	 NonOverlappingTemplate
110  91  97 103 116 125  93  93  92 104  0.225744   1010/1024	 NonOverlappingTemplate
113  91  80 119 107  97 108 117  90 102  0.108413   1015/1024	 NonOverlappingTemplate
 86 109 107 109  89 107 115  91 102 109  0.442722   1018/1024	 NonOverlappingTemplate
 94  89 102 112 111  95 114  91  92 124  0.168916   1014/1024	 NonOverlappingTemplate
 92 114 111  94  85  97 110 103 109 109  0.485598   1011/1024	 NonOverlappingTemplate
107 104  98 101 121  96  90 100 105 102  0.751633   1017/1024	 NonOverlappingTemplate
122  95 110 118  88  90 102  94  94 111  0.166187   1015/1024	 NonOverlappingTemplate
105  93  97  82 109 106 116 108 107 101  0.512565   1010/1024	 NonOverlappingTemplate
121 110 110  85  92  99  98 111 108  90  0.248537   1014/1024	 NonOverlappingTemplate
 99  93  92 101 111 111 103  97 114 103  0.822183   1018/1024	 NonOverlappingTemplate
 90 100  96 113  97 102 110 102 101 113  0.829151   1016/1024	 NonOverlappingTemplate
108  97  93 106 104 106 126 102  92  90  0.368227   1017/1024	 NonOverlappingTemplate
104  92  90 117  84 110 119 109 101  98  0.217767   1012/1024	 NonOverlappingTemplate
 97  98 102 105 107 100 120 102  98  95  0.868626   1018/1024	 NonOverlappingTemplate
100 105 100  95  93 103  95 109 110 114  0.879308   1015/1024	 NonOverlappingTemplate
109 115 110 101 109 100 103  85 105  87  0.491325   1016/1024	 NonOverlappingTemplate
 98 113  95 127  96  96 106 103  83 107  0.181168   1011/1024	 NonOverlappingTemplate
 84 102 105 128  93  98 115  98  93 108  0.129473   1013/1024	 NonOverlappingTemplate
113 109  97 106  87 105 105 110 103  89  0.663639   1018/1024	 NonOverlappingTemplate
 99 112 113  99 104  85 102 110 108  92  0.618752   1015/1024	 NonOverlappingTemplate
110 107  89 115 100 102 115  98 104  84  0.414085   1017/1024	 NonOverlappingTemplate
102  85 102  99 102 111 114 108 107  94  0.704140   1014/1024	 NonOverlappingTemplate
 98 106  98 103  98 113 106  94 110  98  0.946701   1013/1024	 NonOverlappingTemplate
 98  98 106 132  97 102  92 105  97  97  0.269049   1017/1024	 NonOverlappingTemplate
120  99 108  97  97 102  93  97 111 100  0.741879   1010/1024	 NonOverlappingTemplate
 99  90 106 101 108  97  95 120 106 102  0.732044   1014/1024	 NonOverlappingTemplate
105  96 108 105 102 115  93  94  94 112  0.782194   1016/1024	 NonOverlappingTemplate
103 104 115 108  95 101  96 105  93 104  0.922639   1012/1024	 NonOverlappingTemplate
 91 129 104 104  89 103  95 107 100 102  0.286615   1016/1024	 NonOverlappingTemplate
 92 114  93  98 109 108 101  97 102 110  0.829151   1013/1024	 NonOverlappingTemplate
 88 113 108  91 102 105 123  89  98 107  0.267731   1011/1024	 NonOverlappingTemplate
 93  97 113 112  94  98 125 100  97  95  0.355268   1015/1024	 NonOverlappingTemplate
106  97 100 109  80 103 117  95 100 117  0.303549   1013/1024	 NonOverlappingTemplate
108  96 118 107 106 106  94  91  98 100  0.761296   1016/1024	 NonOverlappingTemplate
101 121 101 106 112  89  98 111  99  86  0.358480   1013/1024	 NonOverlappingTemplate
104  91 112  99  89 114 102 130  87  96  0.075536   1010/1024	 NonOverlappingTemplate
113  81 121  83 114  94  99 113 103 103  0.068538   1008/1024	 NonOverlappingTemplate
105  97 114 110  99  91  92  97 111 108  0.737954   1007/1024	 NonOverlappingTemplate
105  97  87 115 100 103  92  89 129 107  0.112890   1012/1024	 NonOverlappingTemplate
 95 102 111 115 100  91  96 130  89  95  0.110952   1017/1024	 NonOverlappingTemplate
101 112 110  93  97  93 101  93 112 112  0.718152   1014/1024	 NonOverlappingTemplate
110 100 107 106  86 109  99 108 103  96  0.846105   1012/1024	 NonOverlappingTemplate
 92 109 103  96  95 102 104 104 108 111  0.939575   1014/1024	 NonOverlappingTemplate
106  93  95  95 107 108 110 117  90 103  0.661602   1013/1024	 NonOverlappingTemplate
106 102 101 124 106  93 108  87  87 110  0.258641   1011/1024	 NonOverlappingTemplate
103 112  94  90  96  96 111  98 107 117  0.622832   1015/1024	 NonOverlappingTemplate
 82 105  92 101 118  94 109 126  99  98  0.105311   1021/1024	 NonOverlappingTemplate
112 104  92 113 110  89 108 114 101  81  0.238734   1016/1024	 NonOverlappingTemplate
107 122 102  97  94 106 107 104 104  81  0.363333   1012/1024	 NonOverlappingTemplate
 89 108 110 115 114  93 108 102  93  92  0.472349   1015/1024	 NonOverlappingTemplate
 88 115 114 101  94 115 100 102 102  93  0.522335   1014/1024	 NonOverlappingTemplate
 99  98 113 103  93  92 102 108 118  98  0.716158   1013/1024	 NonOverlappingTemplate
122  97 104 108 110  97  90 106  95  95  0.538103   1009/1024	 NonOverlappingTemplate
 95 106 117 100 107  89  89 101 125  95  0.206758   1015/1024	 NonOverlappingTemplate
 99  99  98  97 106 106 134  96  98  91  0.180201   1012/1024	 NonOverlappingTemplate
 82 111 111  97  97  98 113 106 112  97  0.462990   1014/1024	 NonOverlappingTemplate
 97 112 100  95 105  83 112 113  99 108  0.536123   1018/1024	 NonOverlappingTemplate
115 103 105  90 109  96 110  97  95 104  0.798871   1010/1024	 NonOverlappingTemplate
105 113  94 101 114  91 105 111  96  94  0.702130   1016/1024	 NonOverlappingTemplate
103 112  91 110  96  97 101 106  87 121  0.408833   1014/1024	 NonOverlappingTemplate
115  95 103 100  94 107  90  90 101 129  0.160840   1008/1024	 NonOverlappingTemplate
105 108 107 113  96  82 106 103 110  94  0.578132   1011/1024	 NonOverlappingTemplate
110  90 101  91 113 100 125  96  97 101  0.330246   1019/1024	 NonOverlappingTemplate
 95  93  95 113 106  97  97 118 107 103  0.704140   1016/1024	 NonOverlappingTemplate
104 121  95 100  86  93 110 103 109 103  0.481796   1013/1024	 NonOverlappingTemplate
 82 110 125 111 116 103 105  93  99  80  0.033180   1015/1024	 NonOverlappingTemplate
 92  84 109  97 102 124 118  94 105  99  0.165286   1018/1024	 NonOverlappingTemplate
101 107  92 106 113  97 112 108 103  85  0.637119   1015/1024	 NonOverlappingTemplate
112  94 108  84 102 119 100  95 109 101  0.439086   1017/1024	 NonOverlappingTemplate
105 117 110  86  92 105 119 110  80 100  0.098180   1012/1024	 NonOverlappingTemplate
123  88  99  94 119  95 112 111  96  87  0.102287   1010/1024	 NonOverlappingTemplate
112 131  89 102  91  83 107 101 106 102  0.066473   1016/1024	 NonOverlappingTemplate
103 115  94 115 100 102  96  87 116  96  0.453721   1016/1024	 NonOverlappingTemplate
 98  92 117  96  79 105 117 107 106 107  0.223442   1014/1024	 NonOverlappingTemplate
118 101 110  94  92 110  99  97  95 108  0.683958   1012/1024	 NonOverlappingTemplate
116 110 110  88 112  99 103  97  98  91  0.558021   1009/1024	 NonOverlappingTemplate
104  85  83 120  98  88 116 104 119 107  0.053526   1012/1024	 NonOverlappingTemplate
110  98 105  94 103  96  90 108 116 104  0.780317   1016/1024	 NonOverlappingTemplate
116  85  96 103 112 102  96  97 120  97  0.341045   1011/1024	 NonOverlappingTemplate
112 105 104 108  89 111 101 102  96  96  0.865501   1013/1024	 NonOverlappingTemplate
107  91 109 113  94 108 107 112  88  95  0.564036   1018/1024	 NonOverlappingTemplate
 97 113 105  91 107  97 108 104 113  89  0.696088   1018/1024	 NonOverlappingTemplate
109  86 108 110 110  88 117  91  99 106  0.337936   1009/1024	 NonOverlappingTemplate
 99  93  92 101 111 112 103  96 115 102  0.772760   1018/1024	 NonOverlappingTemplate
114  97 103 104  97 110 112 102  86  99  0.724122   1016/1024	 OverlappingTemplate
114 106 124  99  73 103 111  95  99 100  0.065663   1011/1024	 Universal
 95 109  95 104 111 107  95 106 106  96  0.931952   1014/1024	 ApproximateEntropy
 77  70  71  57  66  70  64  66  57  74  0.751807    656/672  *	 RandomExcursions
 71  73  60  65  84  58  75  66  52  68  0.247202    663/672 	 RandomExcursions
 85  71  72  55  72  47  74  54  56  86  0.003728    664/672 	 RandomExcursions
 68  66  70  57  60  80  65  76  73  57  0.513234    665/672 	 RandomExcursions
 61  59  75  59  80  57  60  81  79  61  0.131077    665/672 	 RandomExcursions
 51  65  77  69  74  63  71  65  73  64  0.598331    665/672 	 RandomExcursions
 63  65  66  65  69  71  65  61  71  76  0.974486    668/672 	 RandomExcursions
 56  64  65  60  71  79  72  57  78  70  0.444191    664/672 	 RandomExcursions
 63  69  73  58  62  70  76  71  64  66  0.901317    667/672 	 RandomExcursionsVariant
 71  55  70  76  50  65  70  76  78  61  0.225347    666/672 	 RandomExcursionsVariant
 71  71  57  66  57  60  73  66  72  79  0.607621    666/672 	 RandomExcursionsVariant
 76  66  60  60  65  58  56  78  68  85  0.190761    663/672 	 RandomExcursionsVariant
 76  65  72  60  62  67  61  64  71  74  0.884068    662/672 	 RandomExcursionsVariant
 62  86  69  62  67  65  71  67  59  64  0.576746    664/672 	 RandomExcursionsVariant
 65  64  76  61  72  65  81  56  71  61  0.546223    667/672 	 RandomExcursionsVariant
 82  41  66  77  68  70  72  63  68  65  0.071375    664/672 	 RandomExcursionsVariant
 67  61  69  74  59  66  58  62  84  72  0.478148    661/672 	 RandomExcursionsVariant
 70  59  49  74  66  67  63  63  75  86  0.141556    661/672 	 RandomExcursionsVariant
 68  68  48  74  65  69  71  66  69  74  0.604522    665/672 	 RandomExcursionsVariant
 69  63  62  62  73  71  70  64  75  63  0.951983    667/672 	 RandomExcursionsVariant
